Date;Heure;Type;Nom;Disponibilite;Capacite;Statut;Latitude;Longitude
24/12/2025;09:23:51;Voiture;Antigone;169;239;Open;43.60871606;3.88881893
24/12/2025;09:23:51;Voiture;Comedie;431;664;Open;43.60856092;3.87976196
24/12/2025;09:23:51;Voiture;Corum;346;480;Open;43.61388821;3.88225773
24/12/2025;09:23:51;Voiture;Europa;400;591;Open;43.60784971;3.89253074
24/12/2025;09:23:51;Voiture;Foch;445;620;Open;43.61074912;3.87657084
24/12/2025;09:23:51;Voiture;Gambetta;207;452;Open;43.60695138;3.87137436
24/12/2025;09:23:51;Voiture;Gare;473;656;Open;43.604024;3.87891
24/12/2025;09:23:51;Voiture;Triangle;315;434;Open;43.60923384;3.88184418
24/12/2025;09:23:51;Voiture;Pitot;447;590;Open;43.61224494;3.87019117
24/12/2025;09:23:51;Voiture;Circe;1048;1200;Open;43.60495377;3.9178495
24/12/2025;09:23:51;Voiture;Garcia Lorca;366;400;Open;43.59098509;3.8907158
24/12/2025;09:23:51;Voiture;Mosson;262;328;Open;43.61623716;3.81966554
24/12/2025;09:23:51;Voiture;Sabines;160;285;Open;43.58383263;3.8602246
24/12/2025;09:23:51;Voiture;Sablassou;252;379;Open;43.63419194;3.92229536
24/12/2025;09:23:51;Voiture;Saint Jean Le Sec;222;285;Open;43.57082225;3.8379312
24/12/2025;09:23:51;Voiture;Euromedecine;183;239;Open;43.63895359;3.82772365
24/12/2025;09:23:51;Voiture;Occitanie;514;615;Open;43.63456232;3.84859796
24/12/2025;09:23:51;Voiture;Vicarello;18;64;Open;43.63286;3.898411
24/12/2025;09:23:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;09:23:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;09:23:51;Voiture;Charles de Gaulle;160;260;Open;43.6285421;3.8977621
24/12/2025;09:23:51;Voiture;Polygone;1494;1911;Open;43.607697;3.88515
24/12/2025;09:23:51;Voiture;Arc de Triomphe;160;440;Open;43.61100267;3.8732007
24/12/2025;09:23:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;09:33:51;Voiture;Antigone;170;239;Open;43.60871606;3.88881893
24/12/2025;09:33:51;Voiture;Comedie;422;664;Open;43.60856092;3.87976196
24/12/2025;09:33:51;Voiture;Corum;344;480;Open;43.61388821;3.88225773
24/12/2025;09:33:51;Voiture;Europa;396;591;Open;43.60784971;3.89253074
24/12/2025;09:33:51;Voiture;Foch;439;620;Open;43.61074912;3.87657084
24/12/2025;09:33:51;Voiture;Gambetta;205;452;Open;43.60695138;3.87137436
24/12/2025;09:33:51;Voiture;Gare;473;656;Open;43.604024;3.87891
24/12/2025;09:33:51;Voiture;Triangle;306;434;Open;43.60923384;3.88184418
24/12/2025;09:33:51;Voiture;Pitot;438;590;Open;43.61224494;3.87019117
24/12/2025;09:33:51;Voiture;Circe;1043;1200;Open;43.60495377;3.9178495
24/12/2025;09:33:51;Voiture;Garcia Lorca;366;400;Open;43.59098509;3.8907158
24/12/2025;09:33:51;Voiture;Mosson;262;328;Open;43.61623716;3.81966554
24/12/2025;09:33:51;Voiture;Sabines;153;285;Open;43.58383263;3.8602246
24/12/2025;09:33:51;Voiture;Sablassou;246;379;Open;43.63419194;3.92229536
24/12/2025;09:33:51;Voiture;Saint Jean Le Sec;222;285;Open;43.57082225;3.8379312
24/12/2025;09:33:51;Voiture;Euromedecine;184;239;Open;43.63895359;3.82772365
24/12/2025;09:33:51;Voiture;Occitanie;508;615;Open;43.63456232;3.84859796
24/12/2025;09:33:51;Voiture;Vicarello;19;64;Open;43.63286;3.898411
24/12/2025;09:33:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;09:33:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;09:33:51;Voiture;Charles de Gaulle;158;260;Open;43.6285421;3.8977621
24/12/2025;09:33:51;Voiture;Polygone;1450;1911;Open;43.607697;3.88515
24/12/2025;09:33:51;Voiture;Arc de Triomphe;155;440;Open;43.61100267;3.8732007
24/12/2025;09:33:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;09:43:51;Voiture;Antigone;171;239;Open;43.60871606;3.88881893
24/12/2025;09:43:51;Voiture;Comedie;416;664;Open;43.60856092;3.87976196
24/12/2025;09:43:51;Voiture;Corum;342;480;Open;43.61388821;3.88225773
24/12/2025;09:43:51;Voiture;Europa;394;591;Open;43.60784971;3.89253074
24/12/2025;09:43:51;Voiture;Foch;426;620;Open;43.61074912;3.87657084
24/12/2025;09:43:51;Voiture;Gambetta;206;452;Open;43.60695138;3.87137436
24/12/2025;09:43:51;Voiture;Gare;474;656;Open;43.604024;3.87891
24/12/2025;09:43:51;Voiture;Triangle;296;434;Open;43.60923384;3.88184418
24/12/2025;09:43:51;Voiture;Pitot;423;590;Open;43.61224494;3.87019117
24/12/2025;09:43:51;Voiture;Circe;1041;1200;Open;43.60495377;3.9178495
24/12/2025;09:43:51;Voiture;Garcia Lorca;366;400;Open;43.59098509;3.8907158
24/12/2025;09:43:51;Voiture;Mosson;260;328;Open;43.61623716;3.81966554
24/12/2025;09:43:51;Voiture;Sabines;151;285;Open;43.58383263;3.8602246
24/12/2025;09:43:51;Voiture;Sablassou;242;379;Open;43.63419194;3.92229536
24/12/2025;09:43:51;Voiture;Saint Jean Le Sec;221;285;Open;43.57082225;3.8379312
24/12/2025;09:43:51;Voiture;Euromedecine;182;239;Open;43.63895359;3.82772365
24/12/2025;09:43:51;Voiture;Occitanie;505;615;Open;43.63456232;3.84859796
24/12/2025;09:43:51;Voiture;Vicarello;12;64;Open;43.63286;3.898411
24/12/2025;09:43:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;09:43:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;09:43:51;Voiture;Charles de Gaulle;156;260;Open;43.6285421;3.8977621
24/12/2025;09:43:51;Voiture;Polygone;1360;1911;Open;43.607697;3.88515
24/12/2025;09:43:51;Voiture;Arc de Triomphe;142;440;Open;43.61100267;3.8732007
24/12/2025;09:43:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;09:53:51;Voiture;Antigone;170;239;Open;43.60871606;3.88881893
24/12/2025;09:53:51;Voiture;Comedie;408;664;Open;43.60856092;3.87976196
24/12/2025;09:53:51;Voiture;Corum;337;480;Open;43.61388821;3.88225773
24/12/2025;09:53:51;Voiture;Europa;395;591;Open;43.60784971;3.89253074
24/12/2025;09:53:51;Voiture;Foch;416;620;Open;43.61074912;3.87657084
24/12/2025;09:53:51;Voiture;Gambetta;206;452;Open;43.60695138;3.87137436
24/12/2025;09:53:51;Voiture;Gare;466;656;Open;43.604024;3.87891
24/12/2025;09:53:51;Voiture;Triangle;287;434;Open;43.60923384;3.88184418
24/12/2025;09:53:51;Voiture;Pitot;409;590;Open;43.61224494;3.87019117
24/12/2025;09:53:51;Voiture;Circe;1039;1200;Open;43.60495377;3.9178495
24/12/2025;09:53:51;Voiture;Garcia Lorca;365;400;Open;43.59098509;3.8907158
24/12/2025;09:53:51;Voiture;Mosson;257;328;Open;43.61623716;3.81966554
24/12/2025;09:53:51;Voiture;Sabines;143;285;Open;43.58383263;3.8602246
24/12/2025;09:53:51;Voiture;Sablassou;240;379;Open;43.63419194;3.92229536
24/12/2025;09:53:51;Voiture;Saint Jean Le Sec;223;285;Open;43.57082225;3.8379312
24/12/2025;09:53:51;Voiture;Euromedecine;180;239;Open;43.63895359;3.82772365
24/12/2025;09:53:51;Voiture;Occitanie;497;615;Open;43.63456232;3.84859796
24/12/2025;09:53:51;Voiture;Vicarello;9;64;Open;43.63286;3.898411
24/12/2025;09:53:51;Voiture;Gaumont EST;74;109;Open;43.604526;3.91529
24/12/2025;09:53:51;Voiture;Gaumont OUEST;5;250;Open;43.604824;3.914158
24/12/2025;09:53:51;Voiture;Charles de Gaulle;158;260;Open;43.6285421;3.8977621
24/12/2025;09:53:51;Voiture;Polygone;1292;1911;Open;43.607697;3.88515
24/12/2025;09:53:51;Voiture;Arc de Triomphe;131;440;Open;43.61100267;3.8732007
24/12/2025;09:53:51;Voiture;Gaumont-Circe;199;500;Open;43.60495377;3.9178495
24/12/2025;10:03:51;Voiture;Antigone;168;239;Open;43.60871606;3.88881893
